ID Year,Year,Household Income by Race,Household Income by Race Moe,Geography,ID Geography,Slug Geography
2018,"2018",61937,94,"United States","01000US","united-states"
2018,"2018",60629,279,"Texas","04000US48","texas"
2018,"2018",88117,2773,"Denton County, TX","05000US48121","denton-county-tx"
2018,"2018",66063,1349,"Tarrant County, TX","05000US48439","tarrant-county-tx"
2018,"2018",58448,2276,"Fort Worth, TX","16000US4827000","fort-worth-tx"
2018,"2018",69445,955.9999999999999,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2017,"2017",60336,86,"United States","01000US","united-states"
2017,"2017",59206,489.99999999999994,"Texas","04000US48","texas"
2017,"2017",86291,2400,"Denton County, TX","05000US48121","denton-county-tx"
2017,"2017",65052,1631,"Tarrant County, TX","05000US48439","tarrant-county-tx"
2017,"2017",60205,2316,"Fort Worth, TX","16000US4827000","fort-worth-tx"
2017,"2017",67382,735,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2016,"2016",57617,115,"United States","01000US","united-states"
2016,"2016",56565,300,"Texas","04000US48","texas"
2016,"2016",80613,2154,"Denton County, TX","05000US48121","denton-county-tx"
2016,"2016",61534,946.0000000000001,"Tarrant County, TX","05000US48439","tarrant-county-tx"
2016,"2016",56428,2117,"Fort Worth, TX","16000US4827000","fort-worth-tx"
2016,"2016",63812,922.9999999999999,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2015,"2015",55775,85,"United States","01000US","united-states"
2015,"2015",55653,314,"Texas","04000US48","texas"
2015,"2015",75649,1704,"Denton County, TX","05000US48121","denton-county-tx"
2015,"2015",60737,744,"Tarrant County, TX","05000US48439","tarrant-county-tx"
2015,"2015",55888,1536,"Fort Worth, TX","16000US4827000","fort-worth-tx"
2015,"2015",61644,469,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2014,"2014",53657,93,"United States","01000US","united-states"
2014,"2014",53035,377,"Texas","04000US48","texas"
2014,"2014",74196,2431,"Denton County, TX","05000US48121","denton-county-tx"
2014,"2014",58099,1317,"Tarrant County, TX","05000US48439","tarrant-county-tx"
2014,"2014",52273,1386,"Fort Worth, TX","16000US4827000","fort-worth-tx"
2014,"2014",59530,772,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
2013,"2013",52250,65,"United States","01000US","united-states"
2013,"2013",51704,238,"Texas","04000US48","texas"
2013,"2013",74981,1989,"Denton County, TX","05000US48121","denton-county-tx"
2013,"2013",56895,1075,"Tarrant County, TX","05000US48439","tarrant-county-tx"
2013,"2013",52430,1645,"Fort Worth, TX","16000US4827000","fort-worth-tx"
2013,"2013",57398,644,"Dallas-Fort Worth-Arlington, TX","31000US19100","dallas-fort-worth-arlington-tx"
