ID Wage Bin,Wage Bin,ID Year,Year,ID Workforce Status,Workforce Status,Total Population,Total Population MOE Appx,Record Count,Geography,ID Geography,Slug Geography,share
1,"< $10K",2018,"2018","true","true",16884340,95015.59123839223,165660,"United States","01000US","united-states",0.1129335704123589
2,"$10-20k",2018,"2018","true","true",18713295,99337.3368332928,168669,"United States","01000US","united-states",0.12516682431944295
3,"$20-30k",2018,"2018","true","true",21312636,104953.51876165823,187613,"United States","01000US","united-states",0.1425529264619745
4,"$30-40k",2018,"2018","true","true",19603466,101325.99394556804,179445,"United States","01000US","united-states",0.1311208734150866
5,"$40-50k",2018,"2018","true","true",15748234,92155.44960025905,150012,"United States","01000US","united-states",0.10533454629018986
6,"$50-60k",2018,"2018","true","true",12681069,83638.4760074251,124083,"United States","01000US","united-states",0.0848193295571803
7,"$60-70k",2018,"2018","true","true",10007615,75023.17134239608,98530,"United States","01000US","united-states",0.06693751092801252
8,"$70-80k",2018,"2018","true","true",7130293,63976.00881845912,70363,"United States","01000US","united-states",0.047692089034943014
9,"$80-90k",2018,"2018","true","true",5523100,56622.93870221614,55135,"United States","01000US","united-states",0.03694212523228621
10,"$90-100k",2018,"2018","true","true",4013620,48521.4455568481,40377,"United States","01000US","united-states",0.026845730237513098
11,"$100-110k",2018,"2018","true","true",3994488,48408.844657193484,40446,"United States","01000US","united-states",0.02671776283877976
12,"$110-120k",2018,"2018","true","true",2001566,34501.10137260808,20405,"United States","01000US","united-states",0.013387789797882745
13,"$120-130k",2018,"2018","true","true",2350727,37345.173284481374,24053,"United States","01000US","united-states",0.015723208202081524
14,"$130-140k",2018,"2018","true","true",1346310,28358.484926506873,13878,"United States","01000US","united-states",0.009005006721131113
15,"$140-150k",2018,"2018","true","true",989183,24337.255081417818,10216,"United States","01000US","united-states",0.006616306469853628
16,"$150-160k",2018,"2018","true","true",1319827,28080.69184874056,13574,"United States","01000US","united-states",0.008827870999792257
17,"$160-170k",2018,"2018","true","true",673201,20098.662331264106,7044,"United States","01000US","united-states",0.004502811038818835
18,"$170-180k",2018,"2018","true","true",550836,18187.97681653981,5736,"United States","01000US","united-states",0.003684353441808334
